name,_pac,_sho,_pas,_dri,_def,_phy,_ovr,skills,wf,positions,playstyle_plus,playstyles,att_wr,def_wr
Vini Jr.,95,82,78,90,29,68,89,5,4,"LM,LW",QUICK STEP,"CHIP SHOT,FIRST TOUCH,TRIVELA,FLAIR,FINESSE SHOT,RAPID",High,High
Rodri,58,73,80,80,85,84,89,3,4,"CDM,CM",POWER SHOT,"LONG BALL PASS,BRUISER",Medium,High
Neymar Jr,86,83,85,93,37,61,89,5,5,"LM,LW",TRICKSTER,"TECHNICAL,QUICK STEP,FIRST TOUCH,TRIVELA,INCISIVE PASS,FLAIR",High,Medium
Alex Morgan,83,89,80,88,47,77,89,4,5,"ST,CF",FINESSE SHOT,"TRIVELA,FIRST TOUCH,RAPID,FLAIR",High,Medium
Virgil van Dijk,78,60,71,72,89,86,89,2,3,CB,AERIAL,"ANTICIPATE,JOCKEY,BRUISER,POWER HEADER,LONG BALL PASS,BLOCK",Medium,High
Ada Hegerberg,75,89,77,86,39,76,89,4,4,"ST,CF",None,"TECHNICAL,AERIAL,FIRST TOUCH,TRIVELA,FINESSE SHOT",High,Medium
Casemiro,63,75,79,73,89,88,89,2,3,CDM,BLOCK,"LONG BALL PASS,SLIDE TACKLE",Medium,High
Irene Paredes,69,51,67,68,89,80,88,2,3,CB,SLIDE TACKLE,"POWER HEADER,JOCKEY,BRUISER,AERIAL",Medium,High
Bruno Fernandes,71,86,90,83,69,77,88,4,3,"CM,CAM",INCISIVE PASS,"TRIVELA,FIRST TOUCH,PINGED PASS,LONG BALL PASS,FLAIR",High,High
Wendie Renard,53,67,69,69,91,84,88,2,3,CB,ANTICIPATE,"POWER HEADER,JOCKEY,LONG BALL PASS,AERIAL",High,Medium
Antoine Griezmann,80,88,87,88,58,75,88,4,3,"ST,CF",FINESSE SHOT,"TECHNICAL,CHIP SHOT,ACROBATIC,TRIVELA,INCISIVE PASS,FLAIR",High,High
Victor Osimhen,90,86,66,83,42,82,88,3,4,"ST,CF",None,"POWER HEADER,CHIP SHOT,ACROBATIC,RAPID",High,Medium
Alexandra Popp,73,87,76,82,52,88,88,3,5,"LM,ST,CF",POWER HEADER,"ACROBATIC,AERIAL,BRUISER,TRIVELA",High,High
Debinha,84,81,87,91,46,68,88,5,5,"RM,CAM",TECHNICAL,"QUICK STEP,ACROBATIC,TRIVELA,FIRST TOUCH,TRICKSTER,FLAIR",High,Medium
Bernardo Silva,69,78,86,92,70,69,88,4,3,"RW,CM",TECHNICAL,"RELENTLESS,TIKI TAKA,TRIVELA,FLAIR",High,High
Federico Valverde,88,82,84,84,80,82,88,3,4,"RW,CM",None,"RELENTLESS,TRIVELA,POWER SHOT,LONG BALL PASS,RAPID",High,High
Sophia Smith,93,85,78,88,45,82,88,4,5,"RW,ST,CF",None,"TECHNICAL,QUICK STEP,FIRST TOUCH,TRICKSTER,FLAIR",High,Medium
Guro Reiten,88,80,86,86,60,63,88,4,3,"CAM,LM,LW",None,"QUICK STEP,RELENTLESS,DEAD BALL,INCISIVE PASS,WHIPPED PASS,FINESSE SHOT,RAPID",High,Medium
Joshua Kimmich,70,74,88,84,82,79,88,3,4,"RB,CDM,CM",LONG BALL PASS,"RELENTLESS,ANTICIPATE,WHIPPED PASS,PRESS PROVEN,DEAD BALL",High,Medium
Marie Katoto,83,88,77,84,39,71,88,4,4,"ST,CF",POWER HEADER,"AERIAL,PRESS PROVEN,TRIVELA,FINESSE SHOT",High,Medium
Patri Guijarro,78,82,83,86,81,72,88,4,4,"CM,CDM",LONG BALL PASS,"PRESS PROVEN,FIRST TOUCH,INCISIVE PASS,FLAIR,FINESSE SHOT,TIKI TAKA",High,Medium
Fridolina Rolfö,82,82,82,87,83,80,87,4,5,"LB,LWB,LW",TRICKSTER,"WHIPPED PASS,TECHNICAL,QUICK STEP,FIRST TOUCH",High,High
Luka Modrić,72,76,89,87,72,66,87,4,4,CM,TRIVELA,"INCISIVE PASS,LONG BALL PASS,TECHNICAL,WHIPPED PASS",Medium,Medium
Lucy Bronze,73,68,80,80,85,88,87,3,3,"RB,RWB",None,"POWER HEADER,JOCKEY,AERIAL",High,High
Frenkie de Jong,82,69,86,87,77,78,87,4,3,CM,TRIVELA,"PRESS PROVEN,INCISIVE PASS,LONG BALL PASS,FLAIR,FINESSE SHOT,TIKI TAKA",High,Medium
Lautaro Martínez,80,86,71,85,48,85,87,4,4,"ST,CF",None,"TRIVELA,TECHNICAL,FLAIR",High,Medium
Beth Mead,81,84,84,87,67,73,87,5,4,"RM,RW,LW",None,"WHIPPED PASS,TECHNICAL,FIRST TOUCH",High,High
Ewa Pajor,85,89,63,89,21,69,87,3,3,"ST,CF",None,RAPID,High,Low
Martin Ødegaard,72,81,88,87,61,64,87,5,2,"CM,CAM",INCISIVE PASS,"TECHNICAL,FIRST TOUCH,PINGED PASS,TRIVELA,WHIPPED PASS,FLAIR",High,Medium
Lena Oberdorf,58,61,77,76,87,89,87,3,3,"CB,CDM",BRUISER,"INTERCEPT,ANTICIPATE,SLIDE TACKLE,POWER SHOT,LONG BALL PASS,PRESS PROVEN",Medium,Medium
Lina Magull,81,74,84,86,57,68,87,5,3,"CM,CAM",None,"INCISIVE PASS,TECHNICAL,FIRST TOUCH",High,Medium
Marquinhos,78,56,75,74,89,80,87,3,3,CB,INTERCEPT,"POWER HEADER,JOCKEY,AERIAL,ANTICIPATE",Medium,High
Heung Min Son,87,88,80,84,42,70,87,4,5,"LM,LW",FINESSE SHOT,"QUICK STEP,RAPID",High,Medium
Rose Lavelle,86,78,84,87,45,65,87,4,4,"RM,CAM",PINGED PASS,"INCISIVE PASS,TIKI TAKA,TECHNICAL,FIRST TOUCH",High,Medium
Ousmane Dembélé,93,77,81,87,36,57,86,5,5,"RM,RW,LW",RAPID,"TRICKSTER,QUICK STEP,FLAIR",High,Medium
Selma Bacha,87,72,84,82,79,78,86,4,3,"LB,LWB,LW",WHIPPED PASS,"TECHNICAL,QUICK STEP,ANTICIPATE,RELENTLESS,BLOCK,DEAD BALL",High,High
Bukayo Saka,85,81,79,87,60,70,86,3,3,"RM,RW",None,"TECHNICAL,FLAIR",High,Medium
Jude Bellingham,76,75,79,85,78,82,86,4,4,CM,RELENTLESS,"INTERCEPT,TECHNICAL,SLIDE TACKLE,FLAIR",High,High
Rafael Leão,93,80,75,87,27,76,86,4,4,"LM,CF,LW,ST",RAPID,"QUICK STEP,TRICKSTER,WHIPPED PASS,FLAIR,FINESSE SHOT",Medium,Low
Pedri,78,69,82,88,70,74,86,4,4,CM,TIKI TAKA,"TECHNICAL,RELENTLESS,FIRST TOUCH,INCISIVE PASS,LONG BALL PASS",High,High
Lauren Hemp,90,76,84,87,63,68,86,4,3,"LM,LW",WHIPPED PASS,"QUICK STEP,TRIVELA,FIRST TOUCH,FINESSE SHOT,RAPID",High,High
Matthijs de Ligt,66,61,64,68,85,86,86,2,3,CB,SLIDE TACKLE,"BLOCK,LONG BALL PASS,BRUISER,POWER SHOT",Medium,High
Sandro Tonali,84,74,81,81,82,84,86,3,4,"CDM,CM",None,"LONG BALL PASS,SLIDE TACKLE,RELENTLESS",Medium,High
Riyad Mahrez,79,81,81,89,38,60,86,5,4,"RM,RW",FIRST TOUCH,"TECHNICAL,FLAIR,FINESSE SHOT",Medium,Medium
Grace Geyoro,77,72,82,82,83,78,86,3,3,"CM,CDM",RELENTLESS,LONG BALL PASS,High,High
Jamal Musiala,85,75,76,91,63,61,86,5,4,"LM,CM,CAM",TECHNICAL,"TRICKSTER,FIRST TOUCH,FLAIR",Medium,Medium
Nicolò Barella,78,78,82,85,78,80,86,3,3,CM,RELENTLESS,"TIKI TAKA,SLIDE TACKLE",High,High
Jill Roord,77,84,84,85,52,73,86,4,4,"RW,CM,CAM",None,"TECHNICAL,FIRST TOUCH",High,Medium
Ronald Araujo,79,51,65,62,86,84,86,2,3,"CB,RB",BLOCK,"ANTICIPATE,JOCKEY,ACROBATIC,SLIDE TACKLE,POWER HEADER",Medium,High
Paulo Dybala,80,85,85,90,40,60,86,4,3,"CF,CAM,ST",FLAIR,"TECHNICAL,ACROBATIC,FIRST TOUCH,TRIVELA,FINESSE SHOT,DEAD BALL",High,Low
İlkay Gündoğan,62,81,84,86,72,73,86,4,4,"CM,CDM",None,"INCISIVE PASS,PRESS PROVEN",High,Medium
Vivianne Miedema,82,85,70,86,32,81,86,4,4,"ST,CAM,CF",None,"TECHNICAL,FINESSE SHOT",High,Medium
Sergej Milinković-Savić,68,80,82,82,79,86,86,4,5,CM,None,"AERIAL,RELENTLESS,TRIVELA,FIRST TOUCH,POWER HEADER,INCISIVE PASS",High,Medium
Khvicha Kvaratskhelia,84,80,81,87,41,71,86,5,5,"LM,RW,LW",None,"TECHNICAL,TRIVELA,TRICKSTER,INCISIVE PASS,WHIPPED PASS,FLAIR,FINESSE SHOT",Medium,Medium
Andrew Robertson,80,61,82,81,81,77,86,3,2,"LB,LWB",RELENTLESS,"WHIPPED PASS,RAPID",High,High
Parejo,49,83,90,80,73,69,86,3,4,"CM,CDM",LONG BALL PASS,"PINGED PASS,PRESS PROVEN,DEAD BALL",Medium,Medium
Sakina Karchaoui,89,61,82,87,79,65,86,4,4,"LB,LWB",None,"TECHNICAL,QUICK STEP,ANTICIPATE,RELENTLESS,JOCKEY,WHIPPED PASS,BLOCK",High,Medium
Sadio Mané,85,83,79,87,44,74,86,4,4,"LM,CF,ST",None,"RAPID,FLAIR",Medium,Medium
Toni Kroos,51,80,90,81,70,71,86,3,5,"CM,CDM",LONG BALL PASS,"INTERCEPT,INCISIVE PASS,WHIPPED PASS,PRESS PROVEN,DEAD BALL",Medium,Medium
Lindsey Horan,78,84,86,84,63,78,86,4,3,CM,LONG BALL PASS,"DEAD BALL,INCISIVE PASS,AERIAL,POWER SHOT",High,Medium
Éder Militão,85,50,69,71,86,82,86,2,3,CB,None,"INTERCEPT,AERIAL,POWER HEADER,LONG BALL PASS,BLOCK",Medium,High
Christopher Nkunku,82,81,83,88,62,67,86,5,3,"CF,CAM,ST",None,"TECHNICAL,FIRST TOUCH,TRIVELA,INCISIVE PASS,FLAIR,FINESSE SHOT",Medium,Medium
N'Golo Kanté,69,65,73,80,85,77,86,2,3,"CDM,CM",INTERCEPT,RELENTLESS,Medium,High
Kim Little,76,78,83,88,62,66,86,3,4,"CAM,CM,CDM",PRESS PROVEN,INCISIVE PASS,High,Medium
Lea Schüller,86,83,70,81,33,73,86,3,3,"ST,CF",None,"POWER HEADER,QUICK STEP",Medium,Low
João Cancelo,81,73,85,84,80,72,86,4,4,"RB,LB,LWB",None,"TECHNICAL,FIRST TOUCH,TRIVELA,WHIPPED PASS,BLOCK,FLAIR",High,Low
Cristiano Ronaldo,77,88,75,80,34,74,86,5,4,"ST,CF",POWER SHOT,"AERIAL,ACROBATIC,TRIVELA,POWER HEADER,FLAIR",High,Low
Trent Alexander-Arnold,76,69,90,79,80,73,86,3,4,"RB,RWB",LONG BALL PASS,"WHIPPED PASS,DEAD BALL",High,Medium
Ashley Lawrence,86,67,82,80,82,78,86,3,4,"RB,RWB",JOCKEY,"WHIPPED PASS,TECHNICAL,QUICK STEP",High,Medium
Mallory Swanson,93,82,82,84,42,71,86,4,5,"LM,CF,LW",None,"TECHNICAL,QUICK STEP,FIRST TOUCH,FLAIR,FINESSE SHOT",High,Medium
Cristiana Girelli,81,85,71,81,46,78,86,3,4,"ST,CF",None,"POWER HEADER,AERIAL,FINESSE SHOT",High,Medium
Jack Grealish,76,76,84,88,53,73,85,4,3,"LM,LW",PRESS PROVEN,"FIRST TOUCH,FLAIR,FINESSE SHOT",High,High
Marcos Acuña,75,74,83,83,81,84,85,3,3,"LB,LM,LWB",None,"ANTICIPATE,RELENTLESS,BRUISER,TRIVELA,POWER SHOT,LONG BALL PASS,FLAIR",High,High
David Alaba,79,71,83,80,85,77,85,3,4,"CB,LB",None,"DEAD BALL,ANTICIPATE",Medium,High
Iago Aspas,81,85,79,86,35,64,85,3,4,"ST,CF",CHIP SHOT,"INCISIVE PASS,TRIVELA,DEAD BALL,FINESSE SHOT",High,High
Alessandro Bastoni,73,35,72,73,86,83,85,2,3,CB,None,"JOCKEY,LONG BALL PASS,PINGED PASS",Medium,High
Ona Batlle,79,50,78,79,80,71,85,3,4,"RB,LB,RWB",None,"QUICK STEP,ANTICIPATE,RELENTLESS,JOCKEY,WHIPPED PASS,RAPID",High,High
Domenico Berardi,82,83,81,87,36,72,85,4,3,"RM,RW",None,"TECHNICAL,TRIVELA,WHIPPED PASS,FLAIR,DEAD BALL",High,Medium
Millie Bright,57,50,69,58,86,87,85,2,4,CB,BRUISER,"INTERCEPT,AERIAL,ANTICIPATE,POWER HEADER,LONG BALL PASS",Low,High
Kadeisha Buchanan,67,44,58,65,87,85,85,2,3,CB,SLIDE TACKLE,"INTERCEPT,JOCKEY,LONG BALL PASS,ANTICIPATE",Medium,Medium
Hakan Çalhanoğlu,67,80,86,85,70,66,85,4,4,"CM,CDM",None,"LONG BALL PASS,TRIVELA",High,Medium
Kingsley Coman,89,76,79,87,30,62,85,5,3,"RM,LM,LW",None,"QUICK STEP,ACROBATIC,FIRST TOUCH,FLAIR,RAPID",Medium,Medium
Rachel Daly,77,85,76,82,64,76,85,3,3,"LB,ST,CF",None,FINESSE SHOT,High,High
Giovanni Di Lorenzo,85,67,75,79,82,82,85,3,3,"RB,RWB",None,"FIRST TOUCH,RAPID,RELENTLESS",High,Medium
Phil Foden,81,79,82,88,57,60,85,4,3,"LM,RW,LW",None,"FIRST TOUCH,TECHNICAL,FLAIR",High,High
Leon Goretzka,78,81,81,83,80,86,85,3,4,"CM,CDM",None,"INTERCEPT,BRUISER,AERIAL,POWER SHOT",High,Medium
Kathrin Hendrich,72,39,70,73,86,75,85,2,3,"CB,RB",JOCKEY,"ANTICIPATE,PINGED PASS,LONG BALL PASS,BLOCK,PRESS PROVEN",Medium,Medium
Amandine Henry,60,80,78,78,83,82,85,3,3,"CDM,CM",POWER SHOT,"INCISIVE PASS,LONG BALL PASS,PINGED PASS",High,High
Theo Hernández,93,71,76,81,78,84,85,3,3,"LB,LM,LWB",None,"LONG THROW,QUICK STEP,RAPID,RELENTLESS",High,Medium
Svenja Huth,82,72,83,86,52,67,85,4,4,"RM,RW,CAM",None,"TECHNICAL,QUICK STEP,ANTICIPATE,JOCKEY,FIRST TOUCH,WHIPPED PASS",Medium,Medium
Ciro Immobile,85,87,68,78,39,74,85,3,4,"ST,CF",None,POWER SHOT,High,Medium
Jules Koundé,84,45,68,75,86,80,85,3,3,"CB,RB",JOCKEY,"SLIDE TACKLE,QUICK STEP,RELENTLESS",High,High
Aymeric Laporte,61,50,73,69,86,78,85,2,3,CB,None,LONG BALL PASS,Medium,Medium
Katie McCabe,80,74,80,80,81,82,85,4,3,"LB,LM,LW,LWB",None,"LONG THROW,BRUISER,SLIDE TACKLE,WHIPPED PASS,LONG BALL PASS,RAPID",High,Medium
Asisat Oshoala,91,84,78,85,50,85,85,4,4,"ST,CF",None,"QUICK STEP,TRIVELA,POWER SHOT,RAPID",High,Medium
Thomas Partey,68,71,82,80,81,82,85,3,3,"CDM,CM",None,"LONG BALL PASS,PRESS PROVEN,PINGED PASS",Medium,High
Megan Rapinoe,73,85,83,86,46,72,85,4,5,"LM,LW",None,"FIRST TOUCH,DEAD BALL",High,Medium
Marcus Rashford,90,86,78,84,42,74,85,5,3,"LM,LW,ST",POWER SHOT,"TECHNICAL,QUICK STEP,FLAIR",High,Low
Declan Rice,71,65,75,77,83,83,85,2,3,"CDM,CM",None,"INTERCEPT,LONG BALL PASS,PRESS PROVEN,BLOCK",Medium,High
Antonio Rüdiger,82,54,71,66,84,86,85,2,3,CB,AERIAL,BLOCK,High,High
Becky Sauerbrunn,61,44,61,69,87,83,85,3,3,CB,INTERCEPT,"JOCKEY,BRUISER",Medium,High
Khadija Shaw,69,85,69,75,30,85,85,3,4,"ST,CF",AERIAL,PRESS PROVEN,Medium,Medium
Rodrygo,88,81,79,86,31,62,85,4,4,"RM,RW,LW,ST",None,"TECHNICAL,DEAD BALL,FLAIR",Medium,Medium
John Stones,72,52,75,77,85,77,85,3,4,"CB,RB",None,LONG THROW,High,Medium
Diogo Jota,82,82,75,85,57,77,85,4,5,"CF,LW,ST",None,"POWER HEADER,RAPID,RELENTLESS",High,High
Kieran Trippier,68,65,86,79,82,72,85,3,4,"RB,RWB",WHIPPED PASS,"LONG THROW,DEAD BALL",Medium,Medium
Raphaël Varane,79,49,64,67,86,78,85,2,4,CB,ANTICIPATE,AERIAL,Medium,High
Keira Walsh,64,46,81,79,79,75,85,3,3,"CDM,CM",None,"TIKI TAKA,PRESS PROVEN",Medium,High
Leah Williamson,75,45,73,72,86,76,85,3,3,"CB,CDM",LONG BALL PASS,"JOCKEY,BRUISER,ANTICIPATE",High,Medium
Florian Wirtz,74,76,83,87,52,63,85,4,4,"CM,CAM",None,"TECHNICAL,CHIP SHOT,FIRST TOUCH,TRIVELA,INCISIVE PASS,FLAIR",High,Medium
Thiago,61,72,86,89,71,67,84,5,3,CM,FIRST TOUCH,"TECHNICAL,SLIDE TACKLE,PINGED PASS,TRIVELA,FLAIR,TIKI TAKA",Medium,Medium
Ismaël Bennacer,80,72,81,86,79,78,84,4,3,"CDM,CAM,CM",None,INCISIVE PASS,High,Medium
Lisa Boattin,75,68,81,81,81,86,84,3,4,"LB,LWB",None,"WHIPPED PASS,BRUISER",High,High
Julian Brandt,71,80,84,86,51,70,84,4,4,"RM,CM,CAM",TIKI TAKA,"TECHNICAL,FIRST TOUCH,TRIVELA,INCISIVE PASS,FLAIR,FINESSE SHOT",Medium,Medium
Catarina Macario,81,83,80,89,57,73,84,4,3,"ST,CAM,CM",None,"TECHNICAL,DEAD BALL",High,Medium
Yannick Carrasco,88,81,80,85,59,66,84,4,4,"LWB,LM,LW",None,"WHIPPED PASS,TRIVELA,TECHNICAL,FLAIR",High,High
Delphine Cascarino,94,74,80,88,38,58,84,4,2,"RM,RW",QUICK STEP,"TRIVELA,TECHNICAL,FLAIR",High,Medium
Federico Chiesa,91,82,76,86,53,75,84,4,4,"RW,LM,LW",RAPID,"QUICK STEP,TRIVELA,FLAIR,FINESSE SHOT",High,Medium
Thiago Silva,51,54,74,72,87,74,84,2,3,CB,ANTICIPATE,"POWER HEADER,AERIAL,BLOCK,ACROBATIC",Medium,High
Rúben Neves,60,75,86,77,76,73,84,3,4,"CDM,CM",None,"LONG BALL PASS,POWER SHOT",Medium,High
Sara Däbritz,76,81,84,86,74,73,84,4,4,CM,None,"LONG BALL PASS,PRESS PROVEN,FINESSE SHOT",Medium,Medium
Linda Dallmann,77,77,79,86,46,61,84,4,4,"CM,CAM",None,"INCISIVE PASS,TECHNICAL",Medium,Medium
Rodrigo Javier De Paul,78,77,83,82,75,83,84,4,3,CM,None,"INCISIVE PASS,LONG BALL PASS,TECHNICAL,FINESSE SHOT",High,Medium
Memphis Depay,82,82,81,85,30,80,84,5,3,"CF,LW,ST",None,"FIRST TOUCH,TRIVELA,TECHNICAL,FLAIR",High,Low
Moussa Diaby,95,73,75,86,42,59,84,4,3,"RM,RW,LM",QUICK STEP,"FIRST TOUCH,RAPID",High,Low
Raphinha,91,79,78,86,53,73,84,4,4,"RM,RW",None,"QUICK STEP,RELENTLESS,POWER SHOT,TRICKSTER,FLAIR,RAPID",High,High
Luis Díaz,91,81,75,87,34,74,84,4,4,"LM,LW",None,"TECHNICAL,QUICK STEP,FLAIR",High,Medium
Gabriel,70,41,62,60,85,82,84,2,2,CB,None,"BRUISER,AERIAL",Medium,High
Paulina Dudek,64,46,64,68,88,76,84,2,2,CB,ANTICIPATE,"INTERCEPT,AERIAL",Medium,Medium
Crystal Dunn,87,77,83,85,77,81,84,4,4,"CM,CAM,CDM",None,"QUICK STEP,RAPID,RELENTLESS",High,High
Gabriel Jesus,83,82,75,88,40,77,84,4,3,"RW,ST,CF",None,"FIRST TOUCH,RELENTLESS,TECHNICAL,FLAIR",High,High
Jess Fishlock,75,81,80,82,75,73,84,4,4,"CAM,CM,CDM",None,"INCISIVE PASS,RAPID,RELENTLESS",High,High
Caitlin Foord,86,77,80,83,45,70,84,3,3,"CAM,LM,RW,LW",None,"QUICK STEP,RAPID",High,Medium
Matthias Ginter,60,59,71,66,85,80,84,2,3,CB,None,"INTERCEPT,LONG BALL PASS,ANTICIPATE",High,Medium
Serge Gnabry,81,84,78,84,43,68,84,4,4,"RM,RW,LM,ST",None,TECHNICAL,Medium,Medium
Grimaldo,87,69,83,84,76,72,84,3,2,"LB,LM,LWB",None,"WHIPPED PASS,DEAD BALL,ANTICIPATE",High,Medium
Bruno Guimarães,71,74,81,84,80,81,84,3,2,"CM,CDM",None,"TRIVELA,INCISIVE PASS,LONG BALL PASS,FLAIR,PRESS PROVEN",High,High
Achraf Hakimi,92,75,80,80,75,78,84,4,4,"RB,RWB",None,"WHIPPED PASS,QUICK STEP",High,Low
Pernille Harder,81,78,81,87,27,77,84,4,4,"LM,CAM,ST",FLAIR,"INCISIVE PASS,TRIVELA,TECHNICAL,POWER SHOT",High,Medium
Fabinho,59,69,78,77,82,82,84,3,2,CDM,None,"BRUISER,SLIDE TACKLE,POWER SHOT,LONG BALL PASS,BLOCK",Medium,High
Lucas Hernández,76,54,70,70,84,78,84,2,2,"CB,LB",None,"BRUISER,SLIDE TACKLE",Medium,Medium
Pierre-Emile Højbjerg,55,73,78,78,81,82,84,3,4,"CDM,CM",None,"INTERCEPT,RELENTLESS",High,High
Amanda Ilestedt,68,42,65,63,87,78,84,2,3,CB,ANTICIPATE,AERIAL,Medium,Medium
Reece James,80,72,83,82,82,81,84,3,3,"RB,RWB",JOCKEY,"WHIPPED PASS,BRUISER",High,Medium
Chloe Kelly,88,77,85,85,43,67,84,4,4,"RM,RW",WHIPPED PASS,"TECHNICAL,QUICK STEP,TRICKSTER,FLAIR,DEAD BALL",High,High
Kim Min Jae,80,33,58,64,85,84,84,2,3,CB,None,"INTERCEPT,POWER HEADER,AERIAL,SLIDE TACKLE",Low,High
Fran Kirby,85,83,78,88,42,57,84,4,4,"RW,CAM",None,"TRIVELA,TECHNICAL,FLAIR,FINESSE SHOT",High,Medium
Randal Kolo Muani,91,78,73,86,38,67,84,4,4,"RM,ST,CF",None,"QUICK STEP,TECHNICAL,FLAIR,FINESSE SHOT",High,Medium
Kalidou Koulibaly,76,48,63,68,84,83,84,2,4,CB,None,"POWER HEADER,BRUISER,BLOCK",Medium,High
Eugénie Le Sommer,70,85,79,85,43,71,84,4,5,"ST,LW,CF",None,"TECHNICAL,FIRST TOUCH",Medium,High
Marcos Llorente,89,78,79,80,78,81,84,3,4,"RM,RB,RW,CM",None,"QUICK STEP,RELENTLESS,POWER SHOT,WHIPPED PASS,RAPID",High,Medium
Stanislav Lobotka,71,70,81,83,77,75,84,3,4,"CM,CDM",None,"RELENTLESS,FIRST TOUCH,ANTICIPATE",Medium,Medium
Romelu Lukaku,80,84,74,77,38,82,84,3,4,"ST,CF",None,"POWER HEADER,PRESS PROVEN,POWER SHOT",Medium,Low
James Maddison,71,81,86,86,54,63,84,4,4,"RM,CM,CAM",DEAD BALL,"INCISIVE PASS,LONG BALL PASS,TRIVELA,FLAIR",High,Medium
Amel Majri,78,75,85,88,81,73,84,5,3,"LW,CM,CAM",WHIPPED PASS,"TECHNICAL,ACROBATIC,TRIVELA,TRICKSTER,FLAIR,TIKI TAKA",Medium,High
Lieke Martens,77,84,83,87,44,71,84,5,4,"LM,LW",None,"TECHNICAL,FIRST TOUCH,INCISIVE PASS,FLAIR,TIKI TAKA",Medium,Low
Gabriel Martinelli,89,78,76,86,46,72,84,4,3,"LM,LW",None,"TECHNICAL,QUICK STEP,TRIVELA,FLAIR,FINESSE SHOT",High,High
Lisandro Martínez,73,59,78,79,85,83,84,3,3,CB,None,"LONG BALL PASS,SLIDE TACKLE,BRUISER",Medium,High
Clara Mateo,82,83,81,84,59,72,84,4,3,"RM,RW",None,"RELENTLESS,FIRST TOUCH,TRIVELA,LONG BALL PASS,FLAIR,FINESSE SHOT",High,High
Mikel Merino,72,78,82,82,83,82,84,3,3,"LM,CM,CAM",None,"INCISIVE PASS,AERIAL,POWER SHOT,RELENTLESS",High,High
Thomas Müller,59,82,83,79,55,69,84,3,4,"CF,CAM,ST",None,"INCISIVE PASS,TRIVELA",High,High
Yuki Nagasato,80,80,81,85,49,73,84,4,5,"ST,CAM,CM",None,CHIP SHOT,High,Medium
Ashleigh Neville,77,70,77,77,85,84,84,3,4,"RM,RB,LM,RWB",None,"ANTICIPATE,RELENTLESS,JOCKEY,SLIDE TACKLE,POWER HEADER,WHIPPED PASS,RAPID",High,High
Adrien Rabiot,78,76,80,80,82,84,84,3,3,"LM,CM",None,"POWER HEADER,AERIAL,FIRST TOUCH",Medium,Medium
Koke,69,72,85,79,79,78,84,3,4,"CDM,CM",None,"LONG BALL PASS,RELENTLESS",Medium,Medium
